Gene_symbol	Gene_Entrez_IDs
DTYMK	1841
DUSP12	11266
DYNC1H1	1778
DYNLRB1	83658
E2F3	1871
E4F1	1877
EBNA1BP2	10969
ECD	11319
ECT2	1894
EEF2	1938
EFTUD1	79631
EFTUD2	9343
EIF1AD	84285
EIF1	10209
EIF2B1	1967
EIF2B2	8892
EIF2B3	8891
EIF2B4	8890
EIF2B5	8893
EIF2S1	1965
EIF2S3	1968
EIF3A	8661
EIF3B	8662
EIF3D	8664
EIF3G	8666
EIF3H	8667
EIF3I	8668
EIF3J	8669
EIF3L	51386
EIF3M	10480
EIF4A1	1973
EIF4A3	9775
EIF4E	1977
EIF4G1	1981
EIF5B	9669
EIF5	1983
EIF6	3692
ELAC2	60528
ELL	8178
ELP2	55250
ELP3	55140
ELP4	26610
ELP5	23587
ELP6	54859
EMC1	23065
ENO1	2023
ENOPH1	58478
EPRS	2058
ERCC1	2067
ERCC2	2068
ERCC3	2071
ERCC4	2072
ERCC6L	54821
ESF1	51575
ESPL1	9700
ETF1	2107
EWSR1	2130
EXOC1	55763
EXOC3	11336
EXOC4	60412
EXOSC10	5394
EXOSC1	51013
EXOSC2	23404
EXOSC3	51010
EXOSC4	54512
EXOSC5	56915
EXOSC6	118460
EXOSC7	23016
EXOSC8	11340
EXOSC9	5393
FAM210A	125228
FAM50A	9130
FAM89B	23625
FAM96B	51647
FAM98B	283742
FANCF	2188
FANCI	55215
FARSA	2193
FARSB	10056
FBL	2091
FCF1	51077
FDX1L	112812
FEN1	2237
FIP1L1	81608
FKBPL	63943
FNBP4	23360
FNTB	2342
FTSJ3	117246
FTSJD2	23070
G6PD	2539
GADD45GIP1	90480
GAK	2580
GAR1	54433
GARS	2617
GART	2618
GBF1	8729
GCN1L1	10985
GEMIN2	8487
GEMIN5	25929
GET4	51608
GFER	2671
GFM1	85476
GFM2	84340
GGPS1	9453
GID8	54994
GINS2	51659
GINS3	64785
GINS4	84296
GLE1	2733
GLI4	2738
GLRX3	10539
GLRX5	51218
GLTSCR2	29997
GMNN	51053
GMPPB	29925
GMPS	8833
GNB1L	54584
GNB2L1	10399
GNL2	29889
GNL3	26354
GNL3L	54552
GON4L	54856
GOSR2	9570
GPI	2821
GPKOW	27238
GPN1	11321
GPN2	54707
