Gene_symbol	Gene_Entrez_IDs
ZNHIT2	741
ZNHIT6	54680
ZNRD1	30834
ZRANB1	54764
ZWILCH	55055
ZZZ3	26009
RPL32	6161
ABL1	25
BCR	613
GATA2	2624
ALDH18A1	5832
GCLC	2729
STAT5B	6777
RPL36	25873
RPL37	6167
SLC5A3	6526
HSPE1	3336
TUBB	203068
VPS29	51699
POLR2J3	548644
RPL18A	6142
WDR1	9948
NDUFAF3	25915
PPAT	5471
FPGS	2356
SMU1	55234
GOLGA6L1	283767
PPCDC	60490
SLC20A1	6574
RPS6	6194
MCL1	4170
TAZ	6901
GAB2	9846
GSS	2937
RPS3A	6189
ANKRD52	283373
COX17	10063
SLC38A5	92745
ERG	2078
POLR2J	5439
SPI1	6688
CDIPT	10423
SEPHS2	22928
RPL7A	6130
NOL11	25926
POLG2	11232
TYMS	7298
EIF3CL	728689
RBM14-RBM4	100526737
POLR3E	55718
LMO2	4005
RPL35A	6165
DPY30	84661
RBM10	8241
IMPDH2	3615
TMX2	51075
RPS14	6208
RPL15	6138
MYH9	4627
CHD8	57680
FDXR	2232
HIST2H2AA3	8337
HIST2H2AA4	723790
RPS8	6202
TELO2	9894
FDPS	2224
PAM16	51025
EIF2S2	8894
RPL5	6125
CYCS	54205
RPS19	6223
RPS17	6218
RPS17L	100505503
ACTB	60
TMEM30A	55754
RPS27A	6233
MRPS16	51021
CCT8	10694
MTFMT	123263
MRPS21	54460
EARS2	124454
SHMT2	6472
YLPM1	56252
TAF5L	27097
CCDC33	80125
MPI	4351
FLII	2314
MRPL35	51318
FASN	2194
GFPT1	2673
DHX30	22907
CEBPA	1050
LAMTOR4	389541
MINOS1	440574
GOLGA8O	728047
BCL2	596
FBXW11	23291
ALAD	210
PSMA6	5687
BAG6	7917
GTF3A	2971
HIST2H2BF	440689
RPS28	6234
ATP5J2-PTCD1	100526740
PTCD1	26024
ZFP36	7538
PPA2	27068
RPL23	9349
CREBBP	1387
SNRPD1	6632
RPL6	6128
AP2S1	1175
C19orf70	125988
MTRF1L	54516
RFK	55312
CEBPD	1052
RPL7L1	285855
DAXX	1616
ERAL1	26284
RPL35	11224
TFRC	7037
MAD2L1BP	9587
RTCB	51493
SUZ12	23512
EIF3C	8663
RPL13A	23521
SDHB	6390
RPL37A	6168
WDR24	84219
PI4KB	5298
ING5	84289
KMT2D	8085
NUP188	23511
CTDSPL2	51496
RPS7	6201
TFPT	29844
CFL1	1072
PGAM1	5223
NEDD8	4738
AURKA	6790
GTF2H1	2965
RPSA	3921
SRSF3	6428
VPS16	64601
ACIN1	22985
SRRM2	23524
ARHGAP1	392
SLC3A2	6520
ZFP36L2	678
LIPT1	51601
PDSS2	57107
IRF2BP2	359948
ZCCHC14	23174
RPS23	6228
CYC1	1537
ZC3H4	23211
RUNX1	861
ZBTB8OS	339487
PPP1CB	5500
CHORDC1	26973
AHCTF1	25909
XAGE1A	653219
XAGE1B	653220
XAGE1C	653048
XAGE1D	9503
XAGE1E	653067
RPS25	6230
TRAF2	7186
ZNF335	63925
TAF9	6880
RARA	5914
PCBP2	5094
TOMM70A	9868
EMC6	83460
HSD17B12	51144
LIG3	3980
DNAJC17	55192
FAU	2197
SLC25A32	81034
HIST2H3A	333932
HIST2H3C	126961
UBE2M	9040
CAPZB	832
SDE2	163859
ATP5O	539
STK11	6794
LMAN1L	79748
LCMT1	51451
SULT1A3	6818
SULT1A4	445329
ATP6AP1	537
SMARCAL1	50485
EIF4G2	1982
LSM3	27258
MTG2	26164
HMGB1	3146
SRM	6723
RANBP3	8498
HIST2H2BE	8349
LSM2	57819
SRD5A3	79644
TPI1	7167
MCM9	254394
SUPT7L	9913
YME1L1	10730
PAPOLG	64895
TNIP1	10318
TP53TG3D	729264
WBP4	11193
RRAGA	10670
SLC25A1	6576
RNF31	55072
TFIP11	24144
FANCM	57697
RPS12	6206
LUC7L2	51631
TRIM74	378108
RPL24	6152
NOTCH2NL	388677
PDCD2	5134
B3GNT2	10678
NUS1	116150
LOC100505679	100505679
SPAG5	10615
POLR2J2	246721
RPS3	6188
TBC1D3F	84218
TBC1D3	729873
TBC1D3C	414060
TBC1D3B	414059
ZMIZ1	57178
POT1	25913
EMC7	56851
KAT5	10524
COQ6	51004
ARID1A	8289
NDUFB10	4716
CHKA	1119
MTCH2	23788
CBFB	865
RPS15	6209
SMARCD2	6603
KIAA0391	9692
MRPL33	9553
GTF2H2C	728340
MBNL1	4154
RPL27	6155
UQCRC2	7385
SLC7A11	23657
ATP6V1F	9296
LDB1	8861
PHF5A	84844
MYB	4602
KMT2A	4297
NCOR2	9612
RBM5	10181
MGAT1	4245
SLC25A3	5250
TADA2B	93624
PPP2R3C	55012
LIG1	3978
CYB5B	80777
DDX19A	55308
TRIM73	375593
MRPL23	6150
RNF4	6047
TRMT10C	54931
LETM1	3954
MED8	112950
CWC25	54883
NSUN4	387338
SERF1A	8293
SERF1B	728492
PPIB	5479
ASUN	55726
NAMPT	10135
RRP7A	27341
BRPF1	7862
PDSS1	23590
DCTN3	11258
MRPL42	28977
PPIE	10450
UBE4B	10277
PPAN-P2RY11	692312
HMBS	3145
PRKAA1	5562
PPP6R3	55291
ANKRD11	29123
UBL7	84993
GEMIN4	50628
SLC6A17	388662
PTAR1	375743
TLE3	7090
RBM8A	9939
RRN3	54700
MARCH5	54708
FIS1	51024
MAN2C1	4123
RPS10	6204
UBE2K	3093
TBCB	1155
SCAP	22937
CCNT1	904
EIF5A	1984
CMIP	80790
COX11	1353
ADSS	159
EEF1A1	1915
ALAS1	211
VCPIP1	80124
FAM122A	116224
PET112	5188
CBWD3	445571
CBWD5	220869
RPL14	9045
MTG1	92170
UBAP1	51271
CCDC59	29080
UQCRH	7388
FBXW7	55294
SREBF1	6720
FARS2	10667
SNAPC1	6617
RPL30	6156
ZEB2	9839
FUBP1	8880
NPIPB5	100132247
DOHH	83475
CCAR1	55749
RPRD1B	58490
EXOC2	55770
ATPAF2	91647
KRAS	3845
C19orf53	28974
PPA1	5464
CLK3	1198
HNRNPL	3191
PPP1CC	5501
CLSPN	63967
RHEB	6009
PWP1	11137
TSEN34	79042
LOXL1	4016
MED24	9862
SLTM	79811
SAP30BP	29115
METTL14	57721
NMD3	51068
FCGR1B	2210
PFN1	5216
MDC1	9656
HSF1	3297
SIAH1	6477
GINS1	9837
PRPF38A	84950
RNASEH2C	84153
SNRPA	6626
ITPK1	3705
RBX1	9978
KIAA0196	9897
RGPD5	84220
RGPD6	729540
CAND1	55832
HELQ	113510
MIOS	54468
PALB2	79728
SETD8	387893
VPS52	6293
ANKDD1A	348094
BECN1	8678
TSPAN31	6302
ETV6	2120
TYRO3	7301
MED15	51586
RBM39	9584
SMARCA4	6597
MATR3	9782
FAM96A	84191
MTHFD1L	25902
MSTO1	55154
ACTG2	72
EED	8726
COX7C	1350
ACAD9	28976
TAMM41	132001
GTF2F2	2963
RPLP1	6176
MOGS	7841
MAF1	84232
COMMD4	54939
HYPK	25764
VMA21	203547
LIMS3	96626
LIMS3L	100288695
TIMMDC1	51300
CPSF7	79869
HNRNPH3	3189
THAP4	51078
MAGOH	4116
NUFIP2	57532
ASH2L	9070
CAB39	51719
RPL17	6139
MMGT1	93380
UBA52	7311
ACTR2	10097
APEX2	27301
CITED2	10370
NCLN	56926
GAPDH	2597
SPTLC2	9517
C17orf70	80233
PITRM1	10531
MED21	9412
PEX5	5830
RPL26	6154
CASC3	22794
IRF2BP1	26145
DOLPP1	57171
SARNP	84324
BRD1	23774
AK2	204
MTERFD2	130916
TTC37	9652
SLC28A1	9154
OAZ1	4946
HIST1H2AJ	8331
SPTLC1	10558
BANF1	8815
EP300	2033
TUBB8	347688
HIST1H2AI	8329
UBE2L3	7332
RAB34	83871
PPP1R2	5504
F8A1	8263
F8A2	474383
F8A3	474384
RANBP1	5902
GIGYF2	26058
GOLGA6L9	440295
C9orf41	138199
MRPL48	51642
PANK3	79646
RAD17	5884
THOC3	84321
MCRS1	10445
GABPB1	2553
NADK	65220
MNAT1	4331
VPS51	738
RSL24D1	51187
ACTR5	79913
LSM12	124801
RPS16	6217
NDUFAF1	51103
RBM18	92400
DDX28	55794
RPL34	6164
TRPM7	54822
FTSJ2	29960
SDHD	6392
KIF20A	10112
STIL	6491
LIN54	132660
TP53I13	90313
GALE	2582
ATAD5	79915
KIAA0146	23514
EPG5	57724
HIST2H3D	653604
REV3L	5980
SPATA31A5	727905
SYF2	25949
CEP55	55165
EGLN2	112398
CDK1	983
TRA2B	6434
KRTAP4-8	728224
RAD51B	5890
SLC31A1	1317
HEXIM1	10614
IL9R	3581
PYROXD1	79912
SCYL1	57410
FBXO5	26271
ABCE1	6059
NUDT4	11163
ADRM1	11047
SHARPIN	81858
MAGED4	728239
MAGED4B	81557
C19orf43	79002
FOXRED1	55572
TADA1	117143
TP53TG3	24150
TP53TG3B	729355
TP53TG3C	653550
NOSIP	51070
TBC1D3G	654341
IREB2	3658
PPP2R2A	5520
KDM4A	9682
LIPT2	387787
RHOA	387
PDS5A	23244
HMGXB3	22993
DPH3	285381
BIRC2	329
CALR	811
ZFP91	80829
CLPB	81570
MRPL3	11222
TRIP4	9325
RBPJ	3516
SPOP	8405
STRN	6801
SMG9	56006
CREB3	10488
TAF8	129685
KAT7	11143
PAPD5	64282
DCAF15	90379
DDX10	1662
USP10	9100
VPS33A	65082
SMN1	6606
SMN2	6607
POLR2F	5435
GTF2H2	2966
APRT	353
CHTF8	54921
SUGP1	57794
OTUD5	55593
BRD9	65980
TRAPPC9	83696
C17orf89	284184
STAG3	10734
TADA3	10474
FAM103A1	83640
NRBP2	340371
CDX2	1045
HAP1	9001
RPA3	6119
MRPL24	79590
WHAMM	123720
MBTPS1	8720
SPAG7	9552
UBE2S	27338
RCOR1	23186
WTAP	9589
LIN9	286826
IKZF2	22807
COX20	116228
FAF2	23197
DNAJA4	55466
CHD7	55636
PRR13	54458
DIAPH1	1729
PEX14	5195
SPEN	23013
VPS4A	27183
TOMM22	56993
MRPL52	122704
NUBP2	10101
MORF4L1	10933
TOP1MT	116447
VPS45	11311
XRCC6	2547
FAM72D	728833
PRELID1	27166
STRAP	11171
PEX12	5193
INO80E	283899
RAB6C	84084
SNAPC5	10302
HIST2H4A	8370
HIST2H4B	554313
DPH6	89978
AGPS	8540
KIAA1967	57805
MED22	6837
TXN	7295
RPL36AL	6166
CSNK1G1	53944
NIPBL	25836
C16orf59	80178
DEXI	28955
CHMP1B	57132
BPTF	2186
TIPRL	261726
SNRNP27	11017
SRSF10	10772
EXTL3	2137
SAMSN1	64092
PEX7	5191
HSPD1	3329
LRWD1	222229
COQ3	51805
SUPT20H	55578
EZH2	2146
DCTN1	1639
SUV39H1	6839
EPT1	85465
C7orf26	79034
KPNA4	3840
TOMM20	9804
PPCS	79717
PDXK	8566
ZBTB45	84878
TCEA1	6917
TUBA1B	10376
SCAF11	9169
ENY2	56943
EIF3F	8665
ATG9A	79065
SPANXA1	30014
SPANXA2	728712
NCOA2	10499
IPPK	64768
MNF1	84300
TMEM209	84928
ATF4	468
SMARCC1	6599
GFI1	2672
ETAA1	54465
CDK13	8621
C17orf53	78995
FASTKD5	60493
HK2	3099
TGS1	96764
KCMF1	56888
EIF5AL1	143244
PDE1B	5153
DUT	1854
HIST2H2AB	317772
SMG8	55181
FANCA	2175
WIPI2	26100
RAD54B	25788
ERH	2079
FH	2271
NUP54	53371
PEX3	8504
CDC40	51362
TFB2M	64216
ACBD4	79777
COMMD5	28991
ERLIN2	11160
SCAF1	58506
STOML2	30968
POU2F1	5451
SIK2	23235
HAUS2	55142
CLEC18C	283971
ZFP36L1	677
H2AFB2	474381
H2AFB3	83740
USP14	9097
CNTROB	116840
CHAMP1	283489
TPT1	7178
EXTL1	2134
AMD1	262
EEFSEC	60678
KIAA1033	23325
CLPX	10845
NFATC2IP	84901
MTO1	25821
KPNA2	3838
CT45A2	728911
ISCA1	81689
NMNAT1	64802
TRMT1	55621
FCGR1A	2209
ZC3H13	23091
CHCHD1	118487
ZWINT	11130
ISCA2	122961
STAC2	342667
RABIF	5877
KIF15	56992
SDHAF1	644096
TMEM147	10430
CHD5	26038
PSMG4	389362
RAD23B	5887
MTHFD2	10797
CYP11A1	1583
DCP2	167227
CBWD6	644019
RPGRIP1	57096
IL16	3603
C6orf57	135154
VEZT	55591
AMHR2	269
PSME3	10197
PRCC	5546
ZBED2	79413
ZAR1L	646799
PAICS	10606
SMG7	9887
WDR62	284403
SMARCE1	6605
BICD2	23299
ZMYND8	23613
EMC3	55831
DYNC1LI1	51143
C15orf39	56905
ZSWIM8	23053
PCM1	5108
PPIP5K2	23262
GCSH	2653
CCDC47	57003
TAF15	8148
DDX39A	10212
HNRNPC	3183
C1orf86	199990
RAD1	5810
NDUFAF7	55471
FANCC	2176
POTEH	23784
KIAA1199	57214
EEF1G	1937
KRTAP10-9	386676
PEX10	5192
IWS1	55677
MRPL10	124995
CCDC58	131076
RNF214	257160
ADAR	103
ADAT2	134637
ANAPC1	64682
ANAPC13	25847
ANKRD17	26057
ANLN	54443
APC	324
APEX1	328
API5	8539
ARMC8	25852
ARPC2	10109
ARPC3	10094
ATP5E	514
ATP5H	10476
ATP5J2	9551
ATP5L	10632
ATXN10	25814
B4GALT5	9334
BANP	54971
BCLAF1	9774
BET1	10282
BOD1L1	259282
BRIP1	83990
BTF3	689
BUB1	699
C14orf166	51637
C6orf48	50854
C7orf73	647087
CALM2	805
CAMLG	819
CAPNS1	826
CCDC174	51244
CCNF	899
CCP110	9738
CDC26	246184
CDC27	996
CDC42	998
CDC7	8317
CDK7	1022
CENPH	64946
CEP135	9662
CEP350	9857
CEP44	80817
CEP63	80254
CHCHD4	131474
CHTOP	26097
CIAPIN1	57019
CIT	11113
CLASP2	23122
CMPK1	51727
CNOT10	25904
CNOT11	55571
COG1	9382
COG5	10466
COG7	91949
COPS2	9318
COPS8	10920
COX7B	1349
CSDE1	7812
CSTF2	1478
CXorf56	63932
DENR	8562
DNAJC19	131118
DNAJC8	22826
DYNC1I2	1781
DYRK1A	1859
EAPP	55837
EDC4	23644
EHMT1	79813
EIF1AX	1964
EIF4A2	1974
EIF4B	1975
EMC4	51234
EXOC5	10640
FAM178A	55719
FAM204A	63877
FAM32A	26017
FAM60A	58516
FANCB	2187
FANCD2	2177
FANCL	55120
FGFR1OP	11116
FGFR1OP2	26127
FTSJ1	24140
FUS	2521
FXN	2395
G3BP2	9908
GABPA	2551
GATC	283459
GEMIN8	54960
GOLT1B	51026
GPATCH1	55094
GTF2F1	2962
GTF3C6	112495
GTPBP10	85865
HAUS6	54801
HBS1L	10767
HEATR3	55027
HNRNPA1	3178
HNRNPF	3185
HSPA8	3312
IDI1	3422
IK	3550
INO80C	125476
INSIG1	3638
INTS12	57117
KIAA1731	85459
KIF14	9928
KIF4A	24137
LAMTOR1	55004
LAMTOR5	10542
LDLR	3949
LENG9	94059
LEO1	123169
LRRFIP1	9208
LSM10	84967
LSM5	23658
LSM6	11157
MAPK14	1432
MAX	4149
MCTS1	28985
MED10	84246
MED13	9969
MED13L	23389
MED23	9439
MED28	80306
MED29	55588
MED31	51003
MIS12	79003
MKI67IP	84365
MOB4	25843
MPDU1	9526
MPHOSPH6	10200
MRPL2	51069
MRPL32	64983
MRPL49	740
MRPL50	54534
MRPL54	116541
MRPS17	51373
MRPS31	10240
MRPS33	51650
MRPS36	92259
MSL1	339287
MSL2	55167
MZT1	440145
NACA	4666
NCOA1	8648
NDUFA9	4704
NDUFB4	4710
NDUFV2	4729
NELFE	7936
NFAT5	10725
NFYA	4800
NFYB	4801
NFYC	4802
NGRN	51335
NONO	4841
NPM1	4869
NUP50	10762
NUPL2	11097
NUSAP1	51203
NUTF2	10204
PA2G4	5036
PABPC1	26986
PCNP	57092
PCNT	5116
PDAP1	11333
PFDN5	5204
PHF23	79142
PIK3R4	30849
PMM2	5373
POMP	51371
PPIL1	51645
PPME1	51400
PPP1R11	6992
PRDM10	56980
PSMC1	5700
PSMF1	9491
PTMA	5757
PTP4A1	7803
PTTG1	9232
PUM1	9698
RAD50	10111
RAD51AP1	10635
RAPGEF6	51735
RBM22	55696
RBM42	79171
RBMX2	51634
RIF1	55183
RMI1	80010
RNPS1	10921
FLJ32154	149650
RPAP3	79657
RPE	6120
RPL21	6144
RPL22	6146
RPL28	6158
RPL39	6170
RPL41	6171
RPRD2	23248
RPS24	6229
RPS26	6231
RPS6KB1	6198
RREB1	6239
SASS6	163786
SBDS	51119
SCAMP4	113178
SDHC	6391
SEC61B	10952
SEC62	7095
SEL1L	6400
SERBP1	26135
SF3B14	51639
SKP1	6500
SLBP	7884
SLC25A19	60386
SLC39A10	57181
SLIRP	81892
SLMAP	7871
SLX4	84464
SNRNP40	9410
SNRPA1	6627
SNRPG	6637
SP1	6667
SPCS2	9789
SREK1	140890
SRP14	6727
SRP19	6728
SRP9	6726
SRRD	402055
SSB	6741
SSBP1	6742
SUMO2	6613
SUPT16H	11198
TADA2A	6871
TAF1D	79101
TARDBP	23435
TCEB2	6923
TCERG1	10915
TCOF1	6949
TECR	9524
THRAP3	9967
TIMM9	26520
TMA16	55319
TMEM167A	153339
TMEM238	388564
NDC1	55706
TRIT1	54802
TRNT1	51095
TSC22D2	9819
TSEN15	116461
TTC4	7268
UBE2H	7328
UBE2T	29089
UBE3D	90025
UCHL5	51377
UQCC	55245
USP9X	8239
VBP1	7411
VPS35	55737
VPS36	51028
VPS53	55275
WAC	51322
WAPAL	23063
WBP11	51729
WDR20	91833
WDR44	54521
WDR59	79726
WIBG	84305
XRCC1	7515
YBX1	4904
YPEL5	51646
ZBTB2	57621
ZC3H11A	9877
ZCRB1	85437
ZFR	51663
ZNF143	7702
ZNF148	7707
ZNF236	7776
ZNHIT1	10467
ZNHIT3	9326
ZRANB2	9406
ZRSR2	8233
ZW10	9183
